+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY          | PACKAGE NAME           | PACKAGE VERSION    | CVE DESCRIPTION                                 |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4464 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4587 | libgcc                 | 8.4.1-1.el8        | The gcc packages provide compilers for C, C++,  |
|            |                       |                        |                    | Java, Fortran, Objective C, and Ada 95 GNU,     |
|            |                       |                        |                    | as well as related support libraries. Security  |
|            |                       |                        |                    | Fix(es): * Developer environment: Unicode's     |
|            |                       |                        |                    | bidirectional (BiDi) override characters can    |
|            |                       |                        |                    | cause trojan source attacks (CVE-2021-42574)    |
|            |                       |                        |                    | The following changes were introduced in        |
|            |                       |                        |                    | gcc in order to facilitate detection of BiDi    |
|            |                       |                        |                    | Unicode characters: This update implements      |
|            |                       |                        |                    | a new warning option -Wbidirectional to         |
|            |                       |                        |                    | warn about possibly dangerous bidirectional     |
|            |                       |                        |                    | characters. There are three levels of warning   |
|            |                       |                        |                    | supported by gcc: "-Wbidirectional=unpaired",   |
|            |                       |                        |                    | which warns about improperly terminated         |
|            |                       |                        |                    | BiDi contexts. (This is the default.)           |
|            |                       |                        |                    | "-Wbidirectional=none", which turns the warning |
|            |                       |                        |                    | off. "-Wbidirectional=any", which warns about   |
|            |                       |                        |                    | any use of bidirectional characters. For more   |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to the     |
|            |                       |                        |                    | CVE page(s) listed in the References section.   |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4587 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4517 | vim-minimal            | 2:8.0.1763-15.el8  | Vim (Vi IMproved) is an updated and improved    |
|            |                       |                        |                    | version of the vi editor. Security Fix(es):     |
|            |                       |                        |                    | * vim: heap-based buffer overflow in            |
|            |                       |                        |                    | utf_ptr2char() in mbyte.c (CVE-2021-3778)       |
|            |                       |                        |                    | * vim: use-after-free in nv_replace() in        |
|            |                       |                        |                    | normal.c (CVE-2021-3796) For more details       |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4517 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2022:0366 | vim-minimal            | 2:8.0.1763-15.el8  | Vim (Vi IMproved) is an updated and             |
|            |                       |                        |                    | improved version of the vi editor. Security     |
|            |                       |                        |                    | Fix(es): * vim: heap-based buffer overflow      |
|            |                       |                        |                    | in win_redr_status() in drawscreen.c            |
|            |                       |                        |                    | (CVE-2021-3872) * vim: illegal memory access    |
|            |                       |                        |                    | in find_start_brace() in cindent.c when         |
|            |                       |                        |                    | C-indenting (CVE-2021-3984) * vim: heap-based   |
|            |                       |                        |                    | buffer overflow in find_help_tags() in          |
|            |                       |                        |                    | help.c (CVE-2021-4019) * vim: use-after-free    |
|            |                       |                        |                    | in win_linetabsize() (CVE-2021-4192)            |
|            |                       |                        |                    | * vim: out-of-bound read in getvcol()           |
|            |                       |                        |                    | (CVE-2021-4193) For more details about the      |
|            |                       |                        |                    | security issue(s), including the impact,        |
|            |                       |                        |                    | a CVSS score, acknowledgments, and other        |
|            |                       |                        |                    | related information, refer to the CVE           |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0366 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2022:0894 | vim-minimal            | 2:8.0.1763-15.el8  | Vim (Vi IMproved) is an updated and improved    |
|            |                       |                        |                    | version of the vi editor. Security Fix(es):     |
|            |                       |                        |                    | * vim: Heap-based buffer overflow in            |
|            |                       |                        |                    | block_insert() in src/ops.c (CVE-2022-0261)     |
|            |                       |                        |                    | * vim: Heap-based buffer overflow in            |
|            |                       |                        |                    | utf_head_off() in mbyte.c (CVE-2022-0318)       |
|            |                       |                        |                    | * vim: Heap-based buffer overflow in            |
|            |                       |                        |                    | init_ccline() in ex_getln.c (CVE-2022-0359) *   |
|            |                       |                        |                    | vim: Illegal memory access when copying lines   |
|            |                       |                        |                    | in visual mode leads to heap buffer overflow    |
|            |                       |                        |                    | (CVE-2022-0361) * vim: Heap-based buffer        |
|            |                       |                        |                    | overflow in getexmodeline() in ex_getln.c       |
|            |                       |                        |                    | (CVE-2022-0392) * vim: Use after free in        |
|            |                       |                        |                    | src/ex_cmds.c (CVE-2022-0413) For more details  |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0894 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2022:0370 | cryptsetup-libs        | 2.3.3-4.el8        | The cryptsetup packages provide a utility       |
|            |                       |                        |                    | for setting up disk encryption using the        |
|            |                       |                        |                    | dm-crypt kernel module. Security Fix(es):       |
|            |                       |                        |                    | * cryptsetup: disable encryption via header     |
|            |                       |                        |                    | rewrite (CVE-2021-4122) For more details        |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0370 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2022:0892 | libarchive             | 3.3.3-1.el8        | The libarchive programming library can          |
|            |                       |                        |                    | create and read several different streaming     |
|            |                       |                        |                    | archive formats, including GNU tar, cpio,       |
|            |                       |                        |                    | and ISO 9660 CD-ROM images. Libarchive is       |
|            |                       |                        |                    | used notably in the bsdtar utility, scripting   |
|            |                       |                        |                    | language bindings such as python-libarchive,    |
|            |                       |                        |                    | and several popular desktop file managers.      |
|            |                       |                        |                    | Security Fix(es): * libarchive: extracting      |
|            |                       |                        |                    | a symlink with ACLs modifies ACLs of target     |
|            |                       |                        |                    | (CVE-2021-23177) * libarchive: symbolic links   |
|            |                       |                        |                    | incorrectly followed when changing modes,       |
|            |                       |                        |                    | times, ACL and flags of a file while extracting |
|            |                       |                        |                    | an archive (CVE-2021-31566) For more details    |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0892 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4060 | libsolv                | 0.7.16-2.el8       | The libsolv packages provide a library          |
|            |                       |                        |                    | for resolving package dependencies using        |
|            |                       |                        |                    | a satisfiability algorithm. Security            |
|            |                       |                        |                    | Fix(es): * libsolv: heap-based buffer           |
|            |                       |                        |                    | overflow in pool_installable() in src/repo.h    |
|            |                       |                        |                    | (CVE-2021-33928) * libsolv: heap-based          |
|            |                       |                        |                    | buffer overflow in pool_disabled_solvable()     |
|            |                       |                        |                    | in src/repo.h (CVE-2021-33929) *                |
|            |                       |                        |                    | libsolv: heap-based buffer overflow in          |
|            |                       |                        |                    | pool_installable_whatprovides() in src/repo.h   |
|            |                       |                        |                    | (CVE-2021-33930) * libsolv: heap-based          |
|            |                       |                        |                    | buffer overflow in prune_to_recommended() in    |
|            |                       |                        |                    | src/policy.c (CVE-2021-33938) For more details  |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4060 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2022:0368 | python3-rpm            | 4.14.3-13.el8      | The RPM Package Manager (RPM) is a command-line |
|            |                       |                        |                    | driven package management system capable        |
|            |                       |                        |                    | of installing, uninstalling, verifying,         |
|            |                       |                        |                    | querying, and updating software packages.       |
|            |                       |                        |                    | Security Fix(es): * rpm: RPM does not           |
|            |                       |                        |                    | require subkeys to have a valid binding         |
|            |                       |                        |                    | signature (CVE-2021-3521) For more details      |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0368 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:2574 | python3-rpm            | 4.14.3-13.el8      | The RPM Package Manager (RPM) is a command-line |
|            |                       |                        |                    | driven package management system capable of     |
|            |                       |                        |                    | installing, uninstalling, verifying, querying,  |
|            |                       |                        |                    | and updating software packages. Security        |
|            |                       |                        |                    | Fix(es): * rpm: Signature checks bypass via     |
|            |                       |                        |                    | corrupted rpm package (CVE-2021-20271) For more |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to the     |
|            |                       |                        |                    | CVE page(s) listed in the References section.   |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:2574 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4513 | libsepol               | 2.9-2.el8          | The libsepol library provides an API for the    |
|            |                       |                        |                    | manipulation of SELinux binary policies. It     |
|            |                       |                        |                    | is used by checkpolicy (the policy compiler)    |
|            |                       |                        |                    | and similar tools, as well as by programs       |
|            |                       |                        |                    | like load_policy that need to perform           |
|            |                       |                        |                    | specific transformations on binary policies     |
|            |                       |                        |                    | (for example, customizing policy boolean        |
|            |                       |                        |                    | settings). Security Fix(es): * libsepol:        |
|            |                       |                        |                    | use-after-free in __cil_verify_classperms()     |
|            |                       |                        |                    | (CVE-2021-36084) * libsepol: use-after-free     |
|            |                       |                        |                    | in __cil_verify_classperms() (CVE-2021-36085)   |
|            |                       |                        |                    | * libsepol: use-after-free in                   |
|            |                       |                        |                    | cil_reset_classpermission() (CVE-2021-36086)    |
|            |                       |                        |                    | * libsepol: heap-based buffer overflow in       |
|            |                       |                        |                    | ebitmap_match_any() (CVE-2021-36087) For more   |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4513 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Low RHSA-2021:4408    | libsolv                | 0.7.16-2.el8       | The libsolv packages provide a library          |
|            |                       |                        |                    | for resolving package dependencies using a      |
|            |                       |                        |                    | satisfiability algorithm. Security Fix(es):     |
|            |                       |                        |                    | * libsolv: heap-based buffer overflow           |
|            |                       |                        |                    | in testcase_read() in src/testcase.c            |
|            |                       |                        |                    | (CVE-2021-3200) For more details about          |
|            |                       |                        |                    | the security issue(s), including the            |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments,          |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4408 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Low RHSA-2021:4386    | libgcc                 | 8.4.1-1.el8        | The gcc packages provide compilers for          |
|            |                       |                        |                    | C, C++, Java, Fortran, Objective C, and         |
|            |                       |                        |                    | Ada 95 GNU, as well as related support          |
|            |                       |                        |                    | libraries. Security Fix(es): * libiberty:       |
|            |                       |                        |                    | Integer overflow in demangle_template()         |
|            |                       |                        |                    | function (CVE-2018-20673) For more details      |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4386 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Low RHSA-2021:4510    | lua-libs               | 5.3.4-11.el8       | The lua packages provide support for Lua, a     |
|            |                       |                        |                    | powerful light-weight programming language      |
|            |                       |                        |                    | designed for extending applications. Lua is     |
|            |                       |                        |                    | also frequently used as a general-purpose,      |
|            |                       |                        |                    | stand-alone language. Security Fix(es): * lua:  |
|            |                       |                        |                    | segmentation fault in getlocal and setlocal     |
|            |                       |                        |                    | functions in ldebug.c (CVE-2020-24370) For more |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4510 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Low RHSA-2021:4373    | pcre                   | 8.42-4.el8         | PCRE is a Perl-compatible regular expression    |
|            |                       |                        |                    | library.  Security Fix(es): * pcre: Buffer      |
|            |                       |                        |                    | over-read in JIT when UTF is disabled           |
|            |                       |                        |                    | and \X or \R has fixed quantifier greater       |
|            |                       |                        |                    | than 1 (CVE-2019-20838) * pcre: Integer         |
|            |                       |                        |                    | overflow when parsing callout numeric           |
|            |                       |                        |                    | arguments (CVE-2020-14155) For more details     |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4373 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Low RHSA-2021:4404    | kexec-tools            | 2.0.20-46.el8      | The kexec-tools packages contain the            |
|            |                       |                        |                    | /sbin/kexec binary and utilities that           |
|            |                       |                        |                    | together form the user-space component of the   |
|            |                       |                        |                    | kernel's kexec feature. The /sbin/kexec binary  |
|            |                       |                        |                    | facilitates a new kernel to boot using the      |
|            |                       |                        |                    | kernel's kexec feature either on a normal or    |
|            |                       |                        |                    | a panic reboot. The kexec fastboot mechanism    |
|            |                       |                        |                    | allows booting a Linux kernel from the context  |
|            |                       |                        |                    | of an already running kernel.  Security         |
|            |                       |                        |                    | Fix(es): * kexec-tools: incorrect permissions   |
|            |                       |                        |                    | on kdump dmesg file (CVE-2021-20269) For more   |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4404 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Low RHSA-2021:4489    | rpm-build-libs         | 4.14.3-13.el8      | The RPM Package Manager (RPM) is a command-line |
|            |                       |                        |                    | driven package management system capable        |
|            |                       |                        |                    | of installing, uninstalling, verifying,         |
|            |                       |                        |                    | querying, and updating software packages.       |
|            |                       |                        |                    | Security Fix(es): * rpm: missing length checks  |
|            |                       |                        |                    | in hdrblobInit() (CVE-2021-20266) For more      |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4489 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Low RHSA-2021:4386    | libstdc++              | 8.4.1-1.el8        | The gcc packages provide compilers for          |
|            |                       |                        |                    | C, C++, Java, Fortran, Objective C, and         |
|            |                       |                        |                    | Ada 95 GNU, as well as related support          |
|            |                       |                        |                    | libraries. Security Fix(es): * libiberty:       |
|            |                       |                        |                    | Integer overflow in demangle_template()         |
|            |                       |                        |                    | function (CVE-2018-20673) For more details      |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4386 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Low RHSA-2021:4489    | rpm                    | 4.14.3-13.el8      | The RPM Package Manager (RPM) is a command-line |
|            |                       |                        |                    | driven package management system capable        |
|            |                       |                        |                    | of installing, uninstalling, verifying,         |
|            |                       |                        |                    | querying, and updating software packages.       |
|            |                       |                        |                    | Security Fix(es): * rpm: missing length checks  |
|            |                       |                        |                    | in hdrblobInit() (CVE-2021-20266) For more      |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4489 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Low RHSA-2021:4455    | python3-pip-wheel      | 9.0.3-19.el8       | pip is a package management system used to      |
|            |                       |                        |                    | install and manage software packages written    |
|            |                       |                        |                    | in Python. Many packages can be found in        |
|            |                       |                        |                    | the Python Package Index (PyPI). pip is a       |
|            |                       |                        |                    | recursive acronym that can stand for either     |
|            |                       |                        |                    | "Pip Installs Packages" or "Pip Installs        |
|            |                       |                        |                    | Python".  Security Fix(es): * python-pip:       |
|            |                       |                        |                    | Incorrect handling of unicode separators        |
|            |                       |                        |                    | in git references (CVE-2021-3572) For more      |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
